attribute_name,attribute_label,attribute_type,value_type,allowed_values,module,schema_category,parents,required_context,source_of_distribution,constraint_type,is_core,description
skill_language_learning,Skill: Language learning,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in language learning.
skill_translation,Skill: Translation,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in translation.
skill_interpretation,Skill: Interpretation,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in interpretation.
skill_design_thinking,Skill: Design thinking,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in design thinking.
skill_prototyping,Skill: Prototyping,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in prototyping.
skill_sketching,Skill: Sketching,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in sketching.
skill_drawing,Skill: Drawing,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in drawing.
skill_painting,Skill: Painting,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in painting.
skill_photography,Skill: Photography,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in photography.
skill_videography,Skill: Videography,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in videography.
skill_video_editing,Skill: Video editing,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in video editing.
skill_audio_production,Skill: Audio production,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in audio production.
skill_cooking,Skill: Cooking,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in cooking.
skill_baking,Skill: Baking,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in baking.
skill_budgeting,Skill: Budgeting,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in budgeting.
skill_investing,Skill: Investing,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in investing.
skill_diy_repair,Skill: DIY repair,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in diy repair.
skill_gardening,Skill: Gardening,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in gardening.
skill_driving,Skill: Driving,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in driving.
skill_technical_writing,Skill: Technical writing,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",technology_digital,Expertise: Skills,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Proficiency in technical writing.
skill_note_taking,Skill: Note-taking,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in note-taking.
skill_speed_reading,Skill: Speed reading,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in speed reading.
skill_memorization,Skill: Memorization,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in memorization.
skill_active_listening,Skill: Active listening,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in active listening.
skill_empathy,Skill: Empathy,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in empathy.
skill_persuasion,Skill: Persuasion,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in persuasion.
skill_facilitation,Skill: Facilitation,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in facilitation.
skill_forecasting,Skill: Forecasting,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in forecasting.
skill_estimation,Skill: Estimation,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in estimation.
skill_fact_checking,Skill: Fact-checking,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in fact-checking.
skill_proofreading,Skill: Proofreading,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in proofreading.
skill_presenting,Skill: Presenting,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in presenting.
skill_networking,Skill: Networking,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in networking.
skill_selling,Skill: Selling,ordinal,ordinal,"[""Master"", ""Advanced"", ""Intermediate"", ""Beginner"", ""None""]",expertise_skills,Expertise: Skills,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Proficiency in selling.
tool_excel,Tool: Excel,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Excel.
tool_google_sheets,Tool: Google Sheets,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Google Sheets.
tool_python,Tool: Python,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Python.
tool_r,Tool: R,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with R.
tool_sql,Tool: SQL,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with SQL.
tool_tableau,Tool: Tableau,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Tableau.
tool_power_bi,Tool: Power BI,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Power BI.
tool_looker,Tool: Looker,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Looker.
tool_figma,Tool: Figma,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Figma.
tool_sketch,Tool: Sketch,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Sketch.
tool_photoshop,Tool: Photoshop,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Photoshop.
tool_illustrator,Tool: Illustrator,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Illustrator.
tool_indesign,Tool: InDesign,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with InDesign.
tool_after_effects,Tool: After Effects,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with After Effects.
tool_premiere_pro,Tool: Premiere Pro,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Premiere Pro.
tool_notion,Tool: Notion,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Notion.
tool_obsidian,Tool: Obsidian,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Obsidian.
tool_jira,Tool: Jira,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Jira.
tool_linear,Tool: Linear,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Linear.
tool_slack,Tool: Slack,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Slack.
tool_microsoft_teams,Tool: Microsoft Teams,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Microsoft Teams.
tool_salesforce,Tool: Salesforce,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Salesforce.
tool_hubspot,Tool: HubSpot,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with HubSpot.
tool_sap,Tool: SAP,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with SAP.
tool_oracle_erp,Tool: Oracle ERP,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Oracle ERP.
tool_git,Tool: Git,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Git.
tool_github,Tool: GitHub,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with GitHub.
tool_gitlab,Tool: GitLab,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with GitLab.
tool_docker,Tool: Docker,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Docker.
tool_kubernetes,Tool: Kubernetes,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Kubernetes.
tool_terraform,Tool: Terraform,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Terraform.
tool_aws,Tool: AWS,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with AWS.
tool_azure,Tool: Azure,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Azure.
tool_google_cloud,Tool: Google Cloud,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Google Cloud.
tool_vs_code,Tool: VS Code,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with VS Code.
tool_jetbrains_ides,Tool: JetBrains IDEs,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with JetBrains IDEs.
tool_vim,Tool: Vim,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Vim.
tool_jupyter,Tool: Jupyter,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Jupyter.
tool_matlab,Tool: MATLAB,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with MATLAB.
tool_stata,Tool: Stata,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Stata.
tool_spss,Tool: SPSS,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with SPSS.
tool_sas,Tool: SAS,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with SAS.
tool_word,Tool: Word,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Word.
tool_powerpoint,Tool: PowerPoint,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with PowerPoint.
tool_keynote,Tool: Keynote,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Keynote.
tool_canva,Tool: Canva,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Canva.
tool_blender,Tool: Blender,categorical,categorical,"[""Power user"", ""Regular"", ""Occasional"", ""Tried it"", ""Never used""]",technology_digital,Skills: Tools,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,false,Experience with Blender.
